network,bn_size_config,transaction_type,transaction_hash,gas_used,block_number,claim_id,profile,notes
Sepolia,4,openClaim,066455062606edf5254b35a2427f2e84ea57cfe908fce658f1cca13e2e5e072a,196136,11032700,4,neutral,run_3
Sepolia,4,submitInference,85e1bac9d2d2bb05039e3dc5032de9bff029db6c57753322f88b7fe433834705,242399,11032701,4,neutral,run_3_snap_11032699
Sepolia,4,openClaim,5f3b2735d302e1c9b3dff5bd65bb597733a772815c1d069d1360ef96e187e384,196136,11032702,5,neutral,run_4
Sepolia,4,submitInference,9a35c2f712ed7da66a4b5980909bf3f41d14e04868396b4cee3941ef877226cb,242399,11032703,5,neutral,run_4_snap_11032701
Sepolia,4,openClaim,45bace950c8bf47af4fd4dd5b1d948f2ad5242a528910218d7ac45d47731603a,196136,11032704,6,neutral,run_5
Sepolia,4,submitInference,9e42479698fca009105050a18941a73a5f39d43020727d9139d0bd866a2f0b73,242399,11032705,6,neutral,run_5_snap_11032703
Sepolia,4,openClaim,72246017e486538494b8307ec3a9485e5267a3b4f16c1322e7a7de12f3b52719,196136,11032706,7,neutral,run_6
Sepolia,4,submitInference,f9abab9cb66533419169a8177819d2e65fe38bc598d24a0f6255e2e89df037c6,242399,11032707,7,neutral,run_6_snap_11032705
Sepolia,4,openClaim,8438c8e60e3fd3f800e82570eff57b3d1e10a2d641e9fc381768111a760fea79,196136,11032708,8,neutral,run_7
Sepolia,4,submitInference,ddb212c201424c3882e6768bfde7895d2da7299bc768fb9223ab6a9f010063d7,242399,11032709,8,neutral,run_7_snap_11032707
Sepolia,4,openClaim,7991cfb490f3285b8c2c9b29fd4783d2858b173a2799490735d4023d3c61c460,196136,11032710,9,neutral,run_8
Sepolia,4,submitInference,2854319c7494dcbbb1381e353a00e9ef0fa4a501364eec4fb073d954e66358d1,242399,11032711,9,neutral,run_8_snap_11032710
Sepolia,4,openClaim,f5d1dd5e201b95bb73b94c86168b88bbf1fc1a62bc4b377fe8bc12b4a8a9c0d8,196136,11032712,10,neutral,run_9
Sepolia,4,submitInference,078a1b1daa1655edeb7bc07057b3aa57dc64f072b8a735bcc7fbad88cfa7d2d4,242399,11032713,10,neutral,run_9_snap_11032711
Sepolia,4,openClaim,42e21e44d1e44a64b0bb23e6b38ccb9be98a7a518938ee3a15dd812863374493,196136,11032714,11,neutral,run_10
Sepolia,4,submitInference,5eece0e8abe0558ec0d35a42611c1eb6677507ab9095c892b017f1eea6f1cd00,242399,11032715,11,neutral,run_10_snap_11032714
Sepolia,4,openClaim,2ebe17efdcfb5dd82df11dfff16f664af78b4d14635391b60ec978d1914e4709,196136,11032716,12,neutral,run_11
Sepolia,4,submitInference,996ab62415b4098e6de2f5a60efcb61ca986791f9fe1e2afe6b87128bda4baf4,242399,11032717,12,neutral,run_11_snap_11032715
Sepolia,4,openClaim,4fa7de0a5cd304076b0efcefcd89bbb45fe1aa9c913fbb6e6d1e87e6cdda9aea,196136,11032718,13,neutral,run_12
Sepolia,4,submitInference,c5a6b612436cb9a8e09e899a16fcd8bf57ad0d5aa4819f77cd3752e907ec5e3a,242399,11032719,13,neutral,run_12_snap_11032717
Sepolia,4,openClaim,5321c39455f87d9986a7a22a75ff47df7dc5ac0f9c486fdd4ed4fb67cc37e23d,196136,11032720,14,neutral,run_13
Sepolia,4,submitInference,2d61186106f050c12b03186c76cff1af74d0728dc481b249e4ccd26f10993249,242399,11032721,14,neutral,run_13_snap_11032720
Sepolia,4,openClaim,8294105e16ea12ad80cd1098a8b06d0d925ce5fe600ad57b9ebc9169615e4e80,196136,11032722,15,neutral,run_14
Sepolia,4,submitInference,63494580c342970d2d5014c00b8198993fda2e31be5485149b3bb646a017b2ac,242399,11032723,15,neutral,run_14_snap_11032721
Sepolia,4,openClaim,3f934db05af0c5ec1c4ff26018237139103083c407661a163184b0a1211eff2e,196136,11032724,16,neutral,run_15
Sepolia,4,submitInference,3c492ef57307a2e80d87624c48d915544480b9869459518bb58851517df4fedb,242399,11032725,16,neutral,run_15_snap_11032723
Sepolia,4,openClaim,3e0680567eb500248652cc120dcd12c4b10ce15533023056e19af2963d65961d,196136,11032726,17,neutral,run_16
Sepolia,4,submitInference,312f33511884d82260f6aadc0fe5efab2392e1c403717ec2fca4d72c69603986,242399,11032727,17,neutral,run_16_snap_11032726
Sepolia,4,openClaim,eeb6170c438a52d56f5f7a9bbbd1c0a3ffc6ab27b019ae5825864766ed9c12c9,196136,11032728,18,neutral,run_17
Sepolia,4,submitInference,77c23e0327fa39f1758c87a8178eb4223bb0034e1a1ddc3f2eff2abd04205c81,242399,11032729,18,neutral,run_17_snap_11032727
Sepolia,4,openClaim,b16c85f8f157c5a6094a1c2c3208608918c9eeb8c640b17fc96ea8b070bd54bd,196136,11032730,19,neutral,run_18
Sepolia,4,submitInference,4d0fcc630f7bb8b0e68dd7026f5f148ca7e3078356e13130c8d9ecdfc3154ea3,242399,11032731,19,neutral,run_18_snap_11032729
Sepolia,4,openClaim,2ff0d7988a90f2c942d57defb07775790d7e02c912e29c0caa2582dc6fbd3066,196136,11032732,20,neutral,run_19
Sepolia,4,submitInference,452c556c2951ec7aa575b435c9e51a9b11e29722e5bd6f889184d87fe7c883bb,242399,11032733,20,neutral,run_19_snap_11032732
